license_number,business_name,license_group,business_licenses,license_type,physical_address,county,expiration_date,tier,canopy_type,indoor_canopy_sqft,outdoor_canopy_sqft,endorsement,sos_registration_number
050-1025676E5DC,Top Crop Cannabis,Recreational Retailer,"Chadcor Holdings 3, LLC",Recreational Retailer,297 SE 10TH ST ONTARIO OR  97914-3808,Malheur,2025-02-19,,,0,0,, 
050-1025684D895,Top Crop Cannabis,Recreational Retailer,"Chadcor Holdings 3, LLC",Recreational Retailer,3170 W 11TH AVE EUGENE OR  97402-3104,Lane,2025-02-19,,,0,0,, 
050-1025720D7CC,Smooth Roots Lincoln City,Recreational Retailer,SR Oregon LLC,Recreational Retailer,325 SW HIGHWAY 101 LINCOLN CITY OR  97367-2759,Lincoln,2025-01-18,,,0,0,, 
050-10257368B11,Truth Dispensary,Recreational Retailer,Truth 3 Inc,Recreational Retailer,1026 COMMERCIAL ST SE SALEM OR  97302-,Marion,2025-02-05,,,0,0,, 
050-1025752BB23,Belmont Collective,Recreational Retailer,New Frontier LLC,Recreational Retailer,2036 SE BELMONT ST PORTLAND OR  97214-2813,Multnomah,2025-02-07,,,0,0,, 
050-10257546056,Gnome Grown Oregon,Recreational Retailer,Gnome Grown Retail LLC,Recreational Retailer,2005 BEAVERCREEK RD OREGON CITY OR  97045-4125,Clackamas,2025-02-26,,,0,0,, 
050-1025833AB25,Pakalolo PDX,Recreational Retailer,"Pakalolo, LLC",Recreational Retailer,1528 SE HOLGATE BLVD PORTLAND OR  97202-4719,Multnomah,2025-01-03,,,0,0,, 
050-10258531C39,FYRE,Recreational Retailer,Calyx Retail LLC,Recreational Retailer,2650 NE DIVISION ST BEND OR  97703-3569,Deschutes,2025-01-11,,,0,0,, 
050-102587438D9,Brothers Cannabis,Recreational Retailer,"Peou Sea, LLC",Recreational Retailer,3609 SE DIVISION ST PORTLAND OR  97202-1545,Multnomah,2024-12-27,,,0,0,, 
050-10258782ABE,Brothers Cannabis,Recreational Retailer,"Peou Sea, LLC",Recreational Retailer,1639 SE FLAVEL ST PORTLAND OR  97202-6033,Multnomah,2025-01-10,,,0,0,, 
050-3041,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,510 NW 11TH AVE PORTLAND OR  97209-3204,Multnomah,2025-04-03,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-3049,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,"8201 SE POWELL BLVD STE F, PORTLAND OR  97266-2059",Multnomah,2025-04-03,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-3054,Smooth Roots Multnomah,Recreational Retailer,SR Oregon Multnomah LLC,Recreational Retailer,3005 SW MULTNOMAH BLVD PORTLAND OR  97219-3701,Multnomah,2025-04-03,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-3059,Tumbleweed Cannabis Co.,Recreational Retailer,New Frontier LLC,Recreational Retailer,310 HIGHWAY 20 N HINES OR  97738,Harney,2025-04-04,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-3131,Terpene Station,Recreational Retailer,Addisian LLC,Recreational Retailer,645 RIVER RD STE 3 EUGENE OR  97404-3288,Lane,2025-04-30,,,0,0,Medical Marijuana Retailer, 
050-3134,High Lakes Cannabis Company,Recreational Retailer,High Lakes Cannabis Company LLC,Recreational Retailer,593 JACKSON ST E 597 JACKSON ST E MONMOUTH OR  97361-1513,Polk,2025-04-29,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-3480,The Farmers Daughters,Recreational Retailer,The Farmers Daughters Dispensary LLC,Recreational Retailer,"1025 CHETCO AVE # 4, BROOKINGS OR  97415-7152",Curry,2025-05-20,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-3658,Stone Age Farmacy,Recreational Retailer,New Frontier LLC,Recreational Retailer,8621 SW CANYON DR PORTLAND OR  97225-3436,Washington,2025-06-02,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-3686,Green Cross Cannabis Emporium,Recreational Retailer,"TLC Medical, Inc.",Recreational Retailer,"1234 SW BASELINE ST STE A, HILLSBORO OR  97123-3845",Washington,2025-06-06,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer",1721081-1
050-3716,Emerald Triangle Dispensary,Recreational Retailer,Zachary Kohler,Recreational Retailer,3388 MERLIN RD GRANTS PASS OR  97526-8421,Josephine,2025-06-10,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-3727,Mr. Nice Guy Portland,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,6330 SW BEAVERTON HILLSDALE HWY PORTLAND OR  97221-4220,Multnomah,2025-06-11,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-3748,Angel Store,Recreational Retailer,"Market Street, LLC",Recreational Retailer,633 MARKET ST STE 100 MEDFORD OR  97504-6162,Jackson,2025-06-16,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-3779,GM Dispensary,Recreational Retailer,Arbon Enterprises LLC,Recreational Retailer,12745 SW WALKER RD STE 100A Beaverton OR  97005,Washington,2025-06-20,,,0,0,Medical Marijuana Retailer, 
050-3898,Broadway Cannabis Market,Recreational Retailer,"Broadway Project, Inc.",Recreational Retailer,5035 SE MCLOUGHLIN BLVD PORTLAND OR  97202-4817,Multnomah,2025-07-25,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-3904,Minions,Recreational Retailer,Minions LLC,Recreational Retailer,"3700 RIVER RD N STE 9, KEIZER OR  97303-5657",Marion,2025-07-27,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-3915,Stinkin Budz,Recreational Retailer,Sweet Angel LLC,Recreational Retailer,1040 COMMERCIAL ST SE SALEM OR  97302-4112,Marion,2025-07-30,,,0,0,Medical Marijuana Retailer, 
050-4560,ADNA,Recreational Retailer,New Frontier LLC,Recreational Retailer,1681 W 7TH AVE EUGENE OR  97402-4309,Benton,2025-08-29,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-4747,Twenty After Four Wellness,Recreational Retailer,420 Blair Blvd.Corp,Recreational Retailer,"420 BLAIR BLVD UNIT A, EUGENE OR  97402-4393",Lane,2025-09-04,,,0,0,, 
060-10000642E5C,"Pacific Coast Partners, LLC",Recreational Wholesaler,"Pacific Coast Partners, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Lane,2025-09-03,,,0,0,, 
060-10004367659,Frontier Farms - HQ,Recreational Wholesaler,Frontier Farms LLC,Recreational Wholesaler,Exempt from Public Disclosure,Hood River,2025-08-07,,,0,0,Medical Marijuana Wholesaler, 
060-10013572A70,Black Market Distribution,Recreational Wholesaler,Black Market Distribution LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2024-12-15,,,0,0,, 
060-10017632100,Redbarn Wholesale,Recreational Wholesaler,RB Wholesale LLC,Recreational Wholesaler,Exempt from Public Disclosure,Douglas,2025-09-20,,,0,0,"Medical Marijuana Wholesaler, Medical Marijuana Wholesaler", 
060-10018309A55,OG Gardens,Recreational Wholesaler,"OG Processing, LLC & OG Gardens, LLC & OG Leasing, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Marion,2025-02-15,,,0,0,, 
060-100230673AE,Solsgreen,Recreational Wholesaler,"P&E Green Solutions, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-05-30,,,0,0,, 
060-1002592350F,Highly Distributed,Recreational Wholesaler,"Highly Distributed, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2024-12-13,,,0,0,, 
060-100280695C8,Jefferson Packing House,Recreational Wholesaler,Jefferson Packing House LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-08-01,,,0,0,Medical Marijuana Wholesaler, 
060-1002881865A,TKO Reserve,Recreational Wholesaler,TKO Holding Inc.,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-08-24,,,0,0,, 
060-10029559A03,"Self Made Farms, LLC",Recreational Wholesaler,"Self Made Farms, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-09-27,,,0,0,Medical Marijuana Wholesaler, 
060-100306077C1,HGWS,Recreational Wholesaler,"HGHA, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-01-19,,,0,0,, 
060-10030945588,"Sublime Solutions, LLC",Recreational Wholesaler,"Sublime Solutions, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Lane,2024-12-27,,,0,0,, 
060-1003259F4AB,Anthos Distribution,Recreational Wholesaler,VORGPDX LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-06-13,,,0,0,, 
060-1003261D0E0,Nova Portland,Recreational Wholesaler,"Nova Paths, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2024-04-05,,,0,0,, 
060-100345602EE,Genesis Pharms,Recreational Wholesaler,Compassionate Circles LLC,Recreational Wholesaler,Exempt from Public Disclosure,Lane,2024-10-12,,,0,0,, 
060-10035818084,The Dub Wholesale,Recreational Wholesaler,"TECA Holding Company, Inc.",Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-01-02,,,0,0,, 
060-1003632ACAB,ABC1,Recreational Wholesaler,Eek Inc,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-03-19,,,0,0,Medical Marijuana Wholesaler, 
060-100375652F3,Sky High Farms,Recreational Wholesaler,Tim and Tobin's Farm Company,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2024-11-01,,,0,0,, 
060-100388704F8,TRULY PURE LLC,Recreational Wholesaler,TRULY PURE LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2024-11-03,,,0,0,, 
060-10038920E70,La Mota,Recreational Wholesaler,La Mota 10 LLC,Recreational Wholesaler,Exempt from Public Disclosure,Marion,2025-07-18,,,0,0,Medical Marijuana Wholesaler, 
060-10039397D78,Dreamfield Transfer Services,Recreational Wholesaler,Dreamfield Transfer Services Inc,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-03-08,,,0,0,, 
060-1004185E1D1,Madrone Wholesale,Recreational Wholesaler,MCC PDX LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-01-26,,,0,0,, 
060-1004387FF56,Rebel Spirit Cannabis,Recreational Wholesaler,"WILVACA, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Lane,2024-12-29,,,0,0,, 
060-100460860AA,CBN Wholesale,Recreational Wholesaler,CBN.OPP Inc,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2024-12-29,,,0,0,, 
060-1004615E2CC,Cultivated Industries,Recreational Wholesaler,"Nug Run Farms, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2024-11-09,,,0,0,, 
060-100471033DB,Quantum Oregon - Wholesale,Recreational Wholesaler,"Happy Hollow Farms, Inc",Recreational Wholesaler,Exempt from Public Disclosure,Clackamas,2024-09-24,,,0,0,, 
060-100473337E7,Odyssey,Recreational Wholesaler,Odyssey Distribution LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-06-08,,,0,0,, 
060-1004799A262,"CWD NORTHWEST, INC.",Recreational Wholesaler,"CWD NORTHWEST, INC",Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-05-08,,,0,0,, 
060-10048798ABC,Cosmic Treehouse,Recreational Wholesaler,"Cosmic, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-01-12,,,0,0,, 
060-1004986905A,Boxcar Logistics,Recreational Wholesaler,"MPSC Industries, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Lane,2025-02-14,,,0,0,, 
060-1005118BE4F,DH Wholesale,Recreational Wholesaler,DH Wholesale LLC / Plantae Health Care LLC,Recreational Wholesaler,Exempt from Public Disclosure,Deschutes,2025-01-09,,,0,0,, 
060-1005241F8C1,Treqq,Recreational Wholesaler,High-Q OR LLC,Recreational Wholesaler,Exempt from Public Disclosure,Marion,2024-12-08,,,0,0,, 
060-10053215E3A,Coastal Canna Supply,Recreational Wholesaler,Hidden Valley Ranch Inc.,Recreational Wholesaler,Exempt from Public Disclosure,Coos,2025-03-06,,,0,0,, 
060-100543699C3,Bloom Well Wholesale,Recreational Wholesaler,Bloom Well Inc,Recreational Wholesaler,Exempt from Public Disclosure,Deschutes,2025-04-02,,,0,0,, 
060-100544075A5,Kaleafa,Recreational Wholesaler,WWMP LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-02-12,,,0,0,, 
060-100544359F4,The CO2 Company,Recreational Wholesaler,The CO2 Company LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-02-01,,,0,0,, 
060-100575459BB,SugarTop Buddery,Recreational Wholesaler,STB Enterprises LLC,Recreational Wholesaler,Exempt from Public Disclosure,Lane,2024-11-02,,,0,0,, 
060-10059184419,Millerville Wholesale,Recreational Wholesaler,Millerville Farms LLC,Recreational Wholesaler,Exempt from Public Disclosure,Josephine,2025-03-25,,,0,0,, 
060-1005931F691,M Thrive Organics LLC,Recreational Wholesaler,M Thrive Organics LLC,Recreational Wholesaler,Exempt from Public Disclosure,Wasco,2024-10-18,,,0,0,, 
060-10059502378,Queen B Labs,Recreational Wholesaler,Queen B Labs LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-07-06,,,0,0,Medical Marijuana Wholesaler, 
060-1005964E660,Good Day Distro,Recreational Wholesaler,"Sunburst Investments II, Inc",Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-07-23,,,0,0,Medical Marijuana Wholesaler, 
060-1005999C2FD,Nectar,Recreational Wholesaler,"Nectar Markets, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-04-27,,,0,0,"Medical Marijuana Wholesaler, Medical Marijuana Wholesaler", 
060-1006219C093,Grown Rogue Distribution,Recreational Wholesaler,Grown Rogue Gardens LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-10-08,,,0,0,, 
060-1006395322D,High Life Distribution,Recreational Wholesaler,High Life Distribution Co LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-09-07,,,0,0,, 
060-10063970F57,The SWEET Life / American Patriot Brands,Recreational Wholesaler,TSL Distribution LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-06-01,,,0,0,, 
060-10065114BEE,Buddies Wholesaling,Recreational Wholesaler,"Cook Investments Northwest Oregon, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Josephine,2025-07-27,,,0,0,, 
060-1006785273F,Theorem,Recreational Wholesaler,MCCM Scientific LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-09-03,,,0,0,Medical Marijuana Wholesaler, 
060-10068568C9A,Demeter Gardens,Recreational Wholesaler,"Demeter Gardens, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2024-10-09,,,0,0,, 
060-100696835DC,Forest Green Distribution,Recreational Wholesaler,420 Investments LLC,Recreational Wholesaler,Exempt from Public Disclosure,Marion,2025-03-12,,,0,0,, 
060-1007098A103,"Moto Perpetuo Farm, Cascade Chronic",Recreational Wholesaler,Moto Perpetuo Farm LLC,Recreational Wholesaler,Exempt from Public Disclosure,Washington,2025-02-20,,,0,0,, 
060-10071252572,Cannabis Corner,Recreational Wholesaler,"Cannabis Corner, LLC.",Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2024-10-31,,,0,0,, 
060-1007408B732,Cloud Cover,Recreational Wholesaler,Quality Product Solutions LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-07-28,,,0,0,Medical Marijuana Wholesaler, 
060-1007418AD59,Fillmore Packing,Recreational Wholesaler,Placido Investments LLC,Recreational Wholesaler,Exempt from Public Disclosure,Lane,2025-08-24,,,0,0,, 
060-10077250DEC,Tokyo Warehouse,Recreational Wholesaler,TG Industries LLC,Recreational Wholesaler,Exempt from Public Disclosure,Deschutes,2025-01-16,,,0,0,, 
060-1007812E12C,Golden Jasmine,Recreational Wholesaler,Golden Jasmine,Recreational Wholesaler,Exempt from Public Disclosure,Deschutes,2024-12-28,,,0,0,, 
060-1007937EEFF,La Mota,Recreational Wholesaler,La Mota Gold Beach LLC,Recreational Wholesaler,Exempt from Public Disclosure,Curry,2024-09-30,,,0,0,Medical Marijuana Wholesaler, 
060-10080858143,Sticky Wholesale,Recreational Wholesaler,G.O. Farms LLC,Recreational Wholesaler,Exempt from Public Disclosure,Clatsop,2025-04-02,,,0,0,Medical Marijuana Wholesaler, 
060-1008236208B,Oregrown Eugene,Recreational Wholesaler,"Downtown Bend Flagship, Inc.",Recreational Wholesaler,Exempt from Public Disclosure,Lane,2025-07-01,,,0,0,Medical Marijuana Wholesaler, 
060-10082532B00,oreKron Distribution,Recreational Wholesaler,CAREY NIKLAS DARNELL LLC,Recreational Wholesaler,Exempt from Public Disclosure,Marion,2025-02-21,,,0,0,, 
060-100835384A4,Hunter Distributing,Recreational Wholesaler,"Hunter Distributing, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-03-27,,,0,0,, 
060-1009031DBC6,PF Wholesale,Recreational Wholesaler,JIA Holdings Ltd,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-02-21,,,0,0,, 
060-1009092E8CB,Willamette Valley Alchemy Wholesale,Recreational Wholesaler,Willamette Valley Alchemy LLC,Recreational Wholesaler,Exempt from Public Disclosure,Lane,2025-03-14,,,0,0,, 
060-10093306233,Sugar Tree Wholesale,Recreational Wholesaler,Sugar Tree Wholesale Co. LLC,Recreational Wholesaler,Exempt from Public Disclosure,Washington,2024-12-05,,,0,0,, 
060-10098366985,Zuni Products,Recreational Wholesaler,"Zuni Products, Inc.",Recreational Wholesaler,Exempt from Public Disclosure,Josephine,2025-05-10,,,0,0,, 
060-100992775DF,CannaVida,Recreational Wholesaler,Evolution CC LLC,Recreational Wholesaler,Exempt from Public Disclosure,Deschutes,2025-03-14,,,0,0,Wholesaler For Hire Trimming, 
060-1010135EC04,Hotbox Farms,Recreational Wholesaler,Hotbox Farms LLC,Recreational Wholesaler,Exempt from Public Disclosure,Baker,2025-03-12,,,0,0,, 
060-1010465F85B,"Vertical Extent, Inc.",Recreational Wholesaler,"Vertical Extent, Inc.",Recreational Wholesaler,Exempt from Public Disclosure,Clackamas,2025-05-02,,,0,0,Medical Marijuana Wholesaler, 
060-10108279225,Buddies Distribution,Recreational Wholesaler,"Cook Investments Northwest Oregon, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-03-20,,,0,0,, 
060-10108658A1C,"Virgin Cannabis, Wolf Creek Cannabis",Recreational Wholesaler,New Frontier LLC,Recreational Wholesaler,Exempt from Public Disclosure,Deschutes,2024-10-10,,,0,0,, 
060-10109080A52,"Green Acers Farm, LLC",Recreational Wholesaler,"Green Acers Farm, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Lane,2025-01-21,,,0,0,, 
060-101114092B6,Farmers Direct Wholesale,Recreational Wholesaler,Fox Hollow Flora LLC,Recreational Wholesaler,Exempt from Public Disclosure,Lane,2025-05-15,,,0,0,, 
060-10111876884,Truly Oreganic,Recreational Wholesaler,Truly Oreganic Farm LLC,Recreational Wholesaler,Exempt from Public Disclosure,Coos,2025-01-24,,,0,0,, 
060-10112905CD0,La Mota SW Portland LLC,Recreational Wholesaler,La Mota SW Portland LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-07-07,,,0,0,Medical Marijuana Wholesaler, 
060-10114647CE2,Resonate,Recreational Wholesaler,SJJD CONSULTING LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2024-12-09,,,0,0,, 
060-10114681C16,Siren,Recreational Wholesaler,"Hardwoods, Inc.",Recreational Wholesaler,Exempt from Public Disclosure,Clackamas,2025-09-25,,,0,0,, 
060-10115220FA8,The Spot Cannabis Collective,Recreational Wholesaler,"Atlas V, LLC.",Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-02-03,,,0,0,, 
060-10116401200,Oregon Roots,Recreational Wholesaler,Oregon Roots Inc,Recreational Wholesaler,Exempt from Public Disclosure,Washington,2024-11-22,,,0,0,, 
060-1011643A9A1,Shivaay Distribution,Recreational Wholesaler,Rudra LLC,Recreational Wholesaler,Exempt from Public Disclosure,Lane,2024-12-20,,,0,0,, 
060-1011651C510,Bahama Buds,Recreational Wholesaler,"Crowded House, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Coos,2025-02-09,,,0,0,, 
060-1011710B610,Farmers First,Recreational Wholesaler,"Next Generation Nurseries, Inc.",Recreational Wholesaler,Exempt from Public Disclosure,Benton,2025-01-24,,,0,0,"Medical Marijuana Wholesaler, Wholesaler For Hire Trimming", 
060-101171724E0,Verdant Leaf,Recreational Wholesaler,"Verdant Leaf Farms, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Washington,2024-10-09,,,0,0,, 
060-1011745F67D,Uplifted,Recreational Wholesaler,"Uplifted, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Marion,2025-09-04,,,0,0,, 
060-10117676E26,ALOHA CANNABIS COMPANY,Recreational Wholesaler,SRH Holdings LLC,Recreational Wholesaler,Exempt from Public Disclosure,Lincoln,2025-02-16,,,0,0,, 
060-10118421284,OBSESHN,Recreational Wholesaler,SECRET GARDEN FARMS LLC,Recreational Wholesaler,Exempt from Public Disclosure,Lane,2025-03-08,,,0,0,, 
060-1011899F464,Mana Distribution,Recreational Wholesaler,Mana Holdings LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-02-17,,,0,0,, 
060-10119056127,"PremiumPlug Wholesalers, LLC",Recreational Wholesaler,"PremiumPlug Wholesalers, LLC.",Recreational Wholesaler,Exempt from Public Disclosure,Washington,2025-05-05,,,0,0,, 
060-1012041EA5F,Oregon Cannabis Clones,Recreational Wholesaler,Push Supply Company LLC,Recreational Wholesaler,Exempt from Public Disclosure,Josephine,2024-12-13,,,0,0,, 
060-1012187DCE2,Pioneer Cannabis Co.,Recreational Wholesaler,Pioneer Herbs LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jefferson,2025-02-16,,,0,0,, 
060-101219244D1,Conscious Cultivators Inc.,Recreational Wholesaler,Conscious Cultivators Inc.,Recreational Wholesaler,Exempt from Public Disclosure,Lane,2024-10-21,,,0,0,, 
060-1012207FC48,"Yak, Inc.",Recreational Wholesaler,"Yak, Inc.",Recreational Wholesaler,Exempt from Public Disclosure,Marion,2024-12-17,,,0,0,, 
060-1012251E8C0,Columbia Garden Wholesale,Recreational Wholesaler,"Columbia Biosciences, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2024-11-14,,,0,0,, 
060-101226678DA,Mary Jans,Recreational Wholesaler,"Simplee Green, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Lane,2025-07-23,,,0,0,Medical Marijuana Wholesaler, 
060-1012309A528,Quiver Distribution,Recreational Wholesaler,BFF LLC,Recreational Wholesaler,Exempt from Public Disclosure,Yamhill,2025-01-24,,,0,0,, 
060-101232838D6,RN Holdings LLC,Recreational Wholesaler,RN Holdings LLC,Recreational Wholesaler,Exempt from Public Disclosure,Clackamas,2025-03-29,,,0,0,Medical Marijuana Wholesaler, 
060-1012348A342,Million Elephants,Recreational Wholesaler,Million Elephants LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-02-20,,,0,0,, 
060-1012352074F,The Green Planet,Recreational Wholesaler,"The Green Planet, Inc.",Recreational Wholesaler,Exempt from Public Disclosure,Washington,2025-01-25,,,0,0,, 
060-10124657F32,Hotbox Farms,Recreational Wholesaler,Hotbox Farms LLC,Recreational Wholesaler,Exempt from Public Disclosure,Malheur,2024-09-23,,,0,0,, 
060-1012592C515,The EXchange,Recreational Wholesaler,Four Elements LLC,Recreational Wholesaler,Exempt from Public Disclosure,Washington,2025-02-23,,,0,0,, 
060-101260859A4,"Elevate Holdings, LLC",Recreational Wholesaler,Elevate Holdings LLC,Recreational Wholesaler,Exempt from Public Disclosure,Clackamas,2025-01-17,,,0,0,, 
060-10126536429,Calyx Distribution,Recreational Wholesaler,Thurow Productions LLC,Recreational Wholesaler,Exempt from Public Disclosure,Deschutes,2024-12-27,,,0,0,, 
060-10127644823,Oregon Cannabis Collective,Recreational Wholesaler,"OCC Outdoor Cultivation, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Josephine,2024-12-15,,,0,0,, 
060-1012822CFC0,Sensible Cannabis Company,Recreational Wholesaler,Pac NW Ventures LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-08-15,,,0,0,, 
060-1012830FF06,Raptor Distribution,Recreational Wholesaler,RAPTOR DISTRIBUTION LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2024-10-03,,,0,0,, 
060-1012889E0F2,Oregon Original Distributors,Recreational Wholesaler,OREGON ORIGINAL LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-03-29,,,0,0,Medical Marijuana Wholesaler, 
060-10129017522,Golden Hydro,Recreational Wholesaler,"Impact Direct, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Washington,2025-02-17,,,0,0,, 
060-1013001349B,Kola Brand,Recreational Wholesaler,Kola Brand LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2024-12-03,,,0,0,, 
060-1013021C254,PDX Distribution LLC,Recreational Wholesaler,PDX Distribution LLC,Recreational Wholesaler,Exempt from Public Disclosure,Washington,2025-02-23,,,0,0,, 
060-1013046D69C,Rogue's Lair Wholesale,Recreational Wholesaler,"Rogue's Lair Improvement, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2024-11-15,,,0,0,, 
060-101333299D1,Higher Cultures,Recreational Wholesaler,PPS Industries LLC,Recreational Wholesaler,Exempt from Public Disclosure,Josephine,2024-10-29,,,0,0,, 
060-1013395D829,Halo Labs; Hush; Hushcanna,Recreational Wholesaler,"ANM, Inc.",Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-01-29,,,0,0,, 
060-10135260924,BSWS,Recreational Wholesaler,Bobsled Farms LLC,Recreational Wholesaler,Exempt from Public Disclosure,Clackamas,2025-01-08,,,0,0,, 
060-1013532678D,Karma Originals,Recreational Wholesaler,"Folium Originals, LLC",Recreational Wholesaler,Exempt from Public Disclosure,Clackamas,2025-02-06,,,0,0,, 
060-101357971B0,SHM Distribution,Recreational Wholesaler,Sacred Herb Medicinals Inc,Recreational Wholesaler,Exempt from Public Disclosure,Deschutes,2025-06-04,,,0,0,, 
060-10136008130,White Tygh Farms Inc,Recreational Wholesaler,White Tygh Farms Inc,Recreational Wholesaler,Exempt from Public Disclosure,Wasco,2025-04-11,,,0,0,, 
060-101443271ED,Quickies,Recreational Wholesaler,Efficient Packaging Services LLC,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-04-20,,,0,0,Medical Marijuana Wholesaler, 
060-10146442175,Green Canopy Wholesale LLC,Recreational Wholesaler,Green Canopy Wholesale Inc.,Recreational Wholesaler,Exempt from Public Disclosure,Multnomah,2025-01-11,,,0,0,, 
060-10146555C41,Reefer Distribution,Recreational Wholesaler,JV Wholesale LLC,Recreational Wholesaler,Exempt from Public Disclosure,Lane,2025-09-03,,,0,0,, 
060-101482974A3,Decibel Farms,Recreational Wholesaler,Decibel Farms Inc.,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2025-01-17,,,0,0,, 
060-10151765E39,Leap Farms,Recreational Wholesaler,M and B Vineyards LLC,Recreational Wholesaler,Exempt from Public Disclosure,Jackson,2024-09-23,,,0,0,, 
